Intolerance: Love's Struggle Throughout the Ages,1916,D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,,385907,8
Over the Hill to the Poorhouse,1920,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,3000000,100000,4.8
The Big Parade,1925,King Vidor,John Gilbert,Renace Adorace,Claire Adams,,245000,8.3
The Broadway Melody,1929,Harry Beaumont,Anita Page,Bessie Love,Charles King,2808000,379000,6.3
Hell's Angels,1930,Howard Hughes,Jean Harlow,Marian Marsh,James Hall,,3950000,7.8
A Farewell to Arms,1932,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,,800000,6.6
42nd Street,1933,Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,2300000,439000,7.7
She Done Him Wrong,1933,Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,,200000,6.5
It Happened One Night,1934,Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,,325000,8.2
Top Hat,1935,Mark Sandrich,Ginger Rogers,Edward Everett Horton,Eric Blore,3000000,609000,7.8
Modern Times,1936,Charles Chaplin,Paulette Goddard,Stanley Blystone,Fred Malatesta,163245,1500000,8.6
The Charge of the Light Brigade,1936,Michael Curtiz,Errol Flynn,David Niven,Spring Byington,,1200000,7.1
The Prisoner of Zenda,1937,John Cromwell,David Niven,Mary Astor,Ronald Colman,,,7.8
Snow White and the Seven Dwarfs,1937,William Cottrell,Adriana Caselotti,Billy Gilbert,Lucille La Verne,184925485,2000000,7.7
Alexander's Ragtime Band,1938,Henry King,Tyrone Power,Don Ameche,John Carradine,,2000000,7
You Can't Take It with You,1938,Frank Capra,Jean Arthur,Ann Miller,Lionel Barrymore,,1644736,8
Gone with the Wind,1939,Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,198655278,3977000,8.2
The Wizard of Oz,1939,Victor Fleming,Margaret Hamilton,Terry,Billie Burke,22202612,2800000,8.1
Mr. Smith Goes to Washington,1939,Frank Capra,Claude Rains,Jean Arthur,Thomas Mitchell,,1500000,8.2
Pinocchio,1940,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,84300000,2600000,7.5
Fantasia,1940,James Algar,Leopold Stokowski,Deems Taylor,,76400000,2280000,7.8
Boom Town,1940,Jack Conway,Hedy Lamarr,Spencer Tracy,Claudette Colbert,,1614000,7.1
Rebecca,1940,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,,1288000,8.2
The Blue Bird,1940,Walter Lang,Spring Byington,Nigel Bruce,Gale Sondergaard,,,6.5
How Green Was My Valley,1941,John Ford,Roddy McDowall,Walter Pidgeon,Barry Fitzgerald,,1250000,7.8
Casablanca,1942,Michael Curtiz,Humphrey Bogart,Claude Rains,Conrad Veidt,,950000,8.6
Bambi,1942,James Algar,Sam Edwards,Donnie Dunagan,Ann Gillis,102797150,,7.4
A Guy Named Joe,1943,Victor Fleming,Spencer Tracy,Esther Williams,Irene Dunne,,2627000,7
Bathing Beauty,1944,George Sidney,Esther Williams,Basil Rathbone,Red Skelton,,2361000,6.5
State Fair,1945,Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,,,7.1
The Valley of Decision,1945,Tay Garnett,Jessica Tandy,Greer Garson,Lionel Barrymore,,2160000,7.5
Spellbound,1945,Alfred Hitchcock,Norman Lloyd,Rhonda Fleming,Leo G. Carroll,,1696377,7.6
The Lost Weekend,1945,Billy Wilder,Ray Milland,Jane Wyman,Frank Faylen,,1250000,8
Duel in the Sun,1946,King Vidor,Joseph Cotten,Lillian Gish,Jennifer Jones,20400000,8000000,6.9
It's a Wonderful Life,1946,Frank Capra,Donna Reed,Lionel Barrymore,Thomas Mitchell,,3180000,8.6
The Best Years of Our Lives,1946,William Wyler,Myrna Loy,Teresa Wright,Dana Andrews,23650000,2100000,8.1
Tycoon,1947,Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,,3209000,6.2
Gentleman's Agreement,1947,Elia Kazan,Dean Stockwell,Celeste Holm,John Garfield,,2000000,7.4
The Lady from Shanghai,1947,Orson Welles,Rita Hayworth,Everett Sloane,Ted de Corsia,7927,2300000,7.7
The Pirate,1948,Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,2956000,3700000,7.1
Red River,1948,Howard Hawks,Montgomery Clift,Walter Brennan,Harry Carey Jr.,,3000000,7.8
Open Secret,1948,John Reinhardt,Sheldon Leonard,John Ireland,Arthur O'Connell,,,7.1
She Wore a Yellow Ribbon,1949,John Ford,Harry Carey Jr.,Ben Johnson,Victor McLaglen,,1600000,7.4
Sands of Iwo Jima,1949,Allan Dwan,James Brown,Richard Jaeckel,Forrest Tucker,,1000000,7.2
Annie Get Your Gun,1950,George Sidney,Keenan Wynn,Howard Keel,Betty Hutton,8000000,3768785,7
Quo Vadis,1951,Mervyn LeRoy,Peter Ustinov,Deborah Kerr,Robert Taylor,,7623000,7.2
Show Boat,1951,George Sidney,Agnes Moorehead,Ava Gardner,Howard Keel,,2295429,7
A Streetcar Named Desire,1951,Elia Kazan,Marlon Brando,Karl Malden,Kim Hunter,,1800000,8
The Greatest Show on Earth,1952,Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,36000000,4000000,6.7
Singin' in the Rain,1952,Stanley Donen,Rita Moreno,Debbie Reynolds,Cyd Charisse,,2540800,8.3
Deadline - U.S.A.,1952,Richard Brooks,Humphrey Bogart,Jim Backus,Kim Hunter,,,7.2
High Noon,1952,Fred Zinnemann,Gary Cooper,Lloyd Bridges,Lon Chaney Jr.,,750000,8.1
The Robe,1953,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,36000000,5000000,6.8
From Here to Eternity,1953,Fred Zinnemann,Montgomery Clift,Donna Reed,Deborah Kerr,,1650000,7.8
Niagara,1953,Henry Hathaway,Joseph Cotten,Jean Peters,Will Wright,,1250000,7.1
The Beast from 20000 Fathoms,1953,Eugene Lourie,Kenneth Tobey,Cecil Kellaway,Ross Elliott,5000000,210000,6.7
20000 Leagues Under the Sea,1954,Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,,5000000,7.2
The Egyptian,1954,Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,,5000000,6.6
On the Waterfront,1954,Elia Kazan,Marlon Brando,Karl Malden,Rod Steiger,9600000,910000,8.2
The Trouble with Harry,1955,Alfred Hitchcock,Jerry Mathers,John Forsythe,Royal Dano,,1200000,7.2
Moby Dick,1956,John Huston,Royal Dano,Richard Basehart,James Robertson Justice,,4500000,7.4
Trapeze,1956,Carol Reed,Gina Lollobrigida,Katy Jurado,Sidney James,,4000000,6.8
Love Me Tender,1956,Robert D. Webb,James Drury,Neville Brand,Debra Paget,,1000000,6.2
12 Angry Men,1957,Sidney Lumet,Jack Warden,Lee J. Cobb,John Fiedler,,350000,8.9
Cat on a Hot Tin Roof,1958,Richard Brooks,Burl Ives,Judith Anderson,Jack Carson,,3000000,8.1
Solomon and Sheba,1959,King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,,5000000,6.2
The Nun's Story,1959,Fred Zinnemann,Colleen Dewhurst,Peter Finch,Beatrice Straight,,3500000,7.6
Some Like It Hot,1959,Billy Wilder,Nehemiah Persoff,Joe E. Brown,George Raft,25000000,2883848,8.3
Psycho,1960,Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,32000000,806947,8.5
The Apartment,1960,Billy Wilder,Fred MacMurray,Ray Walston,David White,,3000000,8.3
Elmer Gantry,1960,Richard Brooks,Shirley Jones,Jean Simmons,Edward Andrews,,3000000,7.9
West Side Story,1961,Jerome Robbins,Rita Moreno,George Chakiris,Richard Beymer,43650000,6000000,7.6
